iter	Logloss
0	0.220939214
1	0.1638807615
2	0.1352130359
3	0.1219593607
4	0.1134360417
5	0.1041199709
6	0.09621893443
7	0.09077561662
8	0.08757509751
9	0.07992614418
10	0.0729687875
11	0.06700627486
12	0.06269860159
13	0.05700766928
14	0.05382543932
15	0.05027232016
16	0.04793707738
17	0.04441747863
18	0.04185118427
19	0.03844363412
20	0.03624514758
21	0.03360558962
22	0.03112039876
23	0.02957521681
24	0.02693821533
25	0.0254886492
26	0.02330635841
27	0.02252729934
28	0.02136853821
29	0.02034997041
30	0.01935519399
31	0.01788995633
32	0.0165152636
33	0.01510284915
34	0.01423139832
35	0.01362827972
36	0.01283933215
37	0.01220522188
38	0.01124139488
39	0.01089816687
40	0.01023105449
41	0.009503491569
42	0.009031539894
43	0.008539263374
44	0.008074929936
45	0.00786468945
46	0.007578387526
47	0.007281028508
48	0.006895777911
49	0.006221901482
50	0.005984218937
51	0.005743516905
52	0.005302251667
53	0.005030873693
54	0.004644342519
55	0.004452580036
56	0.00419823391
57	0.004036321447
58	0.003874979994
59	0.003760065354
60	0.003676189912
61	0.003452246941
62	0.003305583876
63	0.003124365871
64	0.002936733444
65	0.002800683573
66	0.002646378236
67	0.002523324803
68	0.002430396156
69	0.00237500802
70	0.002203952566
71	0.002117957001
72	0.002117829365
73	0.002117681317
74	0.002117581295
75	0.002117186655
76	0.002117186655
77	0.002116544499
78	0.002116490194
79	0.00207518432
80	0.001964422504
81	0.001963431301
82	0.001791893117
83	0.00173030849
84	0.001681221753
85	0.001617189513
86	0.001545310358
87	0.001489219416
88	0.001465985727
89	0.00146433319
90	0.001464251547
91	0.001460181668
92	0.001457456317
93	0.001457456317
94	0.001457015407
95	0.001390917109
96	0.00135856585
97	0.001289541201
98	0.001241335948
99	0.001240735168
100	0.001240350964
101	0.001240350964
102	0.001240153783
103	0.001240080452
104	0.001240002226
105	0.001240001302
106	0.001239895462
107	0.00119244864
108	0.001137977417
109	0.001137964764
110	0.001137900946
111	0.001137637083
112	0.001137546204
113	0.001137312357
114	0.001137058654
115	0.001136992804
116	0.001136992804
117	0.001136992804
118	0.001080903436
119	0.00108040979
120	0.001038905839
121	0.001038905839
122	0.00103870875
123	0.001038491805
124	0.001038285665
125	0.001038092455
126	0.001038021525
127	0.001037857869
128	0.001037642586
129	0.001037464153
130	0.001037237325
131	0.001037164455
132	0.001037023981
133	0.001037023981
134	0.001037023981
135	0.001036894682
136	0.001036894682
137	0.001036894682
138	0.001036731211
139	0.001036632943
140	0.001036248001
141	0.001036248001
142	0.001036181319
143	0.0009732436244
144	0.0009731929206
145	0.0009731459111
146	0.0009729641533
147	0.0009729483603
148	0.0009728543413
149	0.0009727477617
150	0.0009727438828
151	0.0009727438828
152	0.0009727438828
153	0.0009726924401
154	0.0009726257587
155	0.0009726394274
156	0.0009725858606
157	0.0009725506727
158	0.0009725572301
159	0.0009724784499
160	0.0009723485041
161	0.0009722848704
162	0.0009722848704
163	0.0009722848704
164	0.0009721496604
165	0.0009720820553
166	0.0009720820553
167	0.0009720697719
168	0.0009720306127
169	0.000972031721
170	0.0009717926097
171	0.0009717339633
172	0.0009717226034
173	0.0009717163232
174	0.0009716090971
175	0.0009715906258
176	0.0009712216612
177	0.0009710556964
178	0.0009709688811
179	0.0009709357251
180	0.0009709084799
181	0.0009708906551
182	0.0009706748177
183	0.0009703576651
184	0.0009702999422
185	0.0009702636461
